,Date,Caught,Rounds,C,W,Alpha_normal,Gamma_normal,Alpha_reveal,Gamma_reveal,Coverage,Comments
114,26/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.142345678,Sens_loc_cat
115,26/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.149456789,Sens_loc_cat
116,26/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.14456789,Sens_loc_cat
117,26/08/2023,TRUE,12,0.2,50,0.1,0.9,0.5,0.9,0.103234567,Sens_loc_cat
118,26/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.139012345,Sens_loc_cat
119,26/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.13654321,Sens_loc_cat
120,27/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.142345678,Sens_loc_cat
121,27/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.143210987,Sens_loc_cat
122,27/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.148901234,Sens_loc_cat
123,27/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.141234567,Sens_loc_cat
124,27/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.136789012,Sens_loc_cat
125,27/08/2023,TRUE,9,0.2,50,0.1,0.9,0.5,0.9,0.085432098,Sens_loc_cat
126,27/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.140123456,Sens_loc_cat
127,27/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.146789012,Sens_loc_cat
,,,,,,,,,,,
